Parameter,Parameter,STAN mean,BUGS mean,Truth,BUGS delta,STAN delta,Closer?
a,a[1],0.217872393,0.8919,0.8983,0.0064,0.680427607,BUGS
a,a[2],0.19945823,0.9365,1.0582,0.1217,0.85874177,BUGS
a,a[3],0.245563763,1.386,1.3593,-0.0267,1.113736237,BUGS
a,a[4],0.642568257,1.878,1.8623,-0.0157,1.219731743,BUGS
a,a[5],0.425583231,0.7926,0.8025,0.0099,0.376916769,BUGS
a,a[6],1.231323672,1.928,1.8476,-0.0804,0.616276328,BUGS
a,a[7],1.364876217,1.828,1.917,0.089,0.552123783,BUGS
a,a[8],1.057167828,1.481,1.4912,0.0102,0.434032172,BUGS
a,a[9],1.179067939,1.534,1.4437,-0.0903,0.264632061,BUGS
a,a[10],0.551911067,0.589,0.5927,0.0037,0.040788933,BUGS
a,a[11],0.906047656,0.8532,0.809,-0.0442,-0.097047656,STAN
a,a[12],0.706530375,0.6774,0.7648,0.0874,0.058269625,STAN
a,a[13],1.957826148,1.66,1.5305,-0.1295,-0.427326148,STAN
a,a[14],1.18029654,1.003,1.0762,0.0732,-0.10409654,STAN
a,a[15],1.81060692,1.563,1.6548,0.0918,-0.15580692,STAN
a,a[16],1.607883843,1.394,1.2465,-0.1475,-0.361383843,STAN
a,a[17],1.877403999,1.597,1.5764,-0.0206,-0.301003999,STAN
a,a[18],2.091719563,1.849,1.9879,0.1389,-0.103819563,STAN
a,a[19],1.298289653,1.149,1.0701,-0.0789,-0.228189653,STAN
a,a[20],1.550957712,1.703,1.6662,-0.0368,0.115242288,BUGS
b,b[1],1.685686436,-1.869,-2,-0.131,-3.685686436,STAN
b,b[2],1.823448139,-2.047,-1.9894,0.0576,-3.812848139,STAN
b,b[3],1.692032023,-1.337,-1.4708,-0.1338,-3.162832023,STAN
b,b[4],0.432829634,-0.5738,-0.6212,-0.0474,-1.054029634,STAN
b,b[5],0.36933253,-0.5179,-0.4782,0.0397,-0.84753253,STAN
b,b[6],0.208686221,-0.1201,-0.1558,-0.0357,-0.364486221,STAN
b,b[7],0.160669242,-0.01846,-0.0561,-0.03764,-0.216769242,STAN
b,b[8],0.174372972,-0.02032,-0.0449,-0.02458,-0.219272972,STAN
b,b[9],0.18188403,-0.01376,-0.0162,-0.00244,-0.19808403,STAN
b,b[10],0.136825848,0.1323,0.0746,-0.0577,-0.062225848,STAN
b,b[11],0.084663414,0.4085,0.3898,-0.0187,0.305136586,BUGS
b,b[12],0.049119014,0.4014,0.4179,0.0165,0.368780986,BUGS
b,b[13],0.052499154,0.532,0.5939,0.0619,0.541400846,BUGS
b,b[14],0.027600255,0.687,0.6198,-0.0672,0.592199745,BUGS
b,b[15],0.002859397,0.7731,0.7821,0.009,0.779240603,BUGS
b,b[16],0.017381261,0.8306,0.8212,-0.0094,0.803818739,BUGS
b,b[17],-0.004987828,0.8895,0.919,0.0295,0.923987828,BUGS
b,b[18],-0.022227195,0.9215,0.9438,0.0223,0.966027195,BUGS
b,b[19],-0.020839062,1.115,1.1249,0.0099,1.145739062,BUGS
b,b[20],-0.070735723,1.479,1.5118,0.0328,1.582535723,BUGS
tau,"tau[1,1]",-0.078178676,,,,,
tau,"tau[1,2]",1.186073908,1.447,0.9477,-0.4993,-0.238373908,BUGS
tau,"tau[1,3]",1.60372831,1.071,1.1911,0.1201,-0.41262831,STAN
tau,"tau[1,4]",2.333813287,0.8357,1.5372,0.7015,-0.796613287,STAN
tau,"tau[2,1]",0.016683824,,,,,
tau,"tau[2,2]",-1.736119051,0.9249,0.5762,-0.3487,2.312319051,BUGS
tau,"tau[2,3]",1.261071444,1.03,0.8161,-0.2139,-0.444971444,STAN
tau,"tau[2,4]",1.628025499,0.6339,1.0645,0.4306,-0.563525499,STAN
tau,"tau[3,1]",0.023524499,,,,,
tau,"tau[3,2]",0.280562359,1.102,0.6754,-0.4266,0.394837641,BUGS
tau,"tau[3,3]",1.653500344,0.7999,0.9533,0.1534,-0.700200344,STAN
tau,"tau[3,4]",2.84277538,0.638,1.2309,0.5929,-1.61187538,STAN
tau,"tau[4,1]",-0.029604289,,,,,
tau,"tau[4,2]",0.467827383,0.9806,0.5994,-0.3812,0.131572617,BUGS
tau,"tau[4,3]",1.241255842,0.8805,0.8717,-0.0088,-0.369555842,STAN
tau,"tau[4,4]",1.058106799,0.563,1.1228,0.5598,0.064693201,STAN
tau,"tau[5,1]",0.000269376,,,,,
tau,"tau[5,2]",1.505560549,1.342,0.7905,-0.5515,-0.715060549,STAN
tau,"tau[5,3]",0.785392519,0.7495,1.0129,0.2634,0.227507481,STAN
tau,"tau[5,4]",1.511463701,0.9482,1.2332,0.285,-0.278263701,STAN
tau,"tau[6,1]",-0.020454917,,,,,
tau,"tau[6,2]",0.962664995,0.9909,0.5548,-0.4361,-0.407864995,BUGS
tau,"tau[6,3]",0.795732647,0.7357,0.7765,0.0408,-0.019232647,STAN
tau,"tau[6,4]",0.767155575,0.6011,1.0341,0.433,0.266944425,STAN
tau,"tau[7,1]",0.003515529,,,,,
tau,"tau[7,2]",1.068154589,1.064,0.6871,-0.3769,-0.381054589,STAN
tau,"tau[7,3]",0.973052165,0.8938,0.9517,0.0579,-0.021352165,STAN
tau,"tau[7,4]",0.694957489,0.6039,1.1295,0.5256,0.434542511,STAN
tau,"tau[8,1]",0.007721807,,,,,
tau,"tau[8,2]",1.410124105,1.371,0.8598,-0.5112,-0.550324105,STAN
tau,"tau[8,3]",1.315081012,1.173,1.1405,-0.0325,-0.174581012,STAN
tau,"tau[8,4]",0.975986438,0.8215,1.4491,0.6276,0.473113562,STAN
tau,"tau[9,1]",-0.024418514,,,,,
tau,"tau[9,2]",0.921577025,0.9205,0.4505,-0.47,-0.471077025,STAN
tau,"tau[9,3]",0.810586349,0.7533,0.696,-0.0573,-0.114586349,STAN
tau,"tau[9,4]",0.391280131,0.361,0.9521,0.5911,0.560819869,STAN
tau,"tau[10,1]",-0.029672362,,,,,
tau,"tau[10,2]",1.426266096,1.379,0.9252,-0.4538,-0.501066096,STAN
tau,"tau[10,3]",1.0483829,1.002,1.2104,0.2084,0.1620171,STAN
tau,"tau[10,4]",1.178990301,1.114,1.5473,0.4333,0.368309699,STAN
tau,"tau[11,1]",0.010274104,,,,,
tau,"tau[11,2]",1.024113684,1.073,0.6034,-0.4696,-0.420713684,BUGS
tau,"tau[11,3]",0.826096909,0.8711,0.8693,-0.0018,0.043203091,BUGS
tau,"tau[11,4]",0.554266552,0.5627,1.1383,0.5756,0.584033448,BUGS
tau,"tau[12,1]",0.006289871,,,,,
tau,"tau[12,2]",1.126574588,1.181,0.9037,-0.2773,-0.222874588,BUGS
tau,"tau[12,3]",1.110830085,1.166,1.1292,-0.0368,0.018369915,BUGS
tau,"tau[12,4]",0.998694828,1.036,1.3508,0.3148,0.352105172,BUGS
tau,"tau[13,1]",0.085850926,,,,,
tau,"tau[13,2]",1.066232955,1.176,0.608,-0.568,-0.458232955,BUGS
tau,"tau[13,3]",0.717604418,0.7769,0.8716,0.0947,0.153995582,BUGS
tau,"tau[13,4]",0.526445627,0.558,1.146,0.588,0.619554373,BUGS
tau,"tau[14,1]",0.005013138,,,,,
tau,"tau[14,2]",0.748161806,0.8691,0.6003,-0.2688,-0.147861806,BUGS
tau,"tau[14,3]",0.628359225,0.7187,0.8051,0.0864,0.176740775,BUGS
tau,"tau[14,4]",0.670925515,0.7591,1.0177,0.2586,0.346774485,BUGS
tau,"tau[15,1]",-0.064200697,,,,,
tau,"tau[15,2]",0.946063462,1.168,0.6858,-0.4822,-0.260263462,BUGS
tau,"tau[15,3]",0.715500185,0.8555,0.9931,0.1376,0.277599815,BUGS
tau,"tau[15,4]",0.645607631,0.7383,1.193,0.4547,0.547392369,BUGS
tau,"tau[16,1]",0.02433638,,,,,
tau,"tau[16,2]",1.17742023,1.489,0.9353,-0.5537,-0.24212023,BUGS
tau,"tau[16,3]",0.867861835,1.094,1.2645,0.1705,0.396638165,BUGS
tau,"tau[16,4]",0.805221377,0.953,1.5262,0.5732,0.720978623,BUGS
tau,"tau[17,1]",0.011553976,,,,,
tau,"tau[17,2]",1.085094451,1.409,0.9186,-0.4904,-0.166494451,BUGS
tau,"tau[17,3]",0.803815585,1.029,1.1539,0.1249,0.350084415,BUGS
tau,"tau[17,4]",0.745759572,0.9017,1.3862,0.4845,0.640440428,BUGS
tau,"tau[18,1]",-0.02210931,,,,,
tau,"tau[18,2]",0.710212998,0.9506,0.634,-0.3166,-0.076212998,BUGS
tau,"tau[18,3]",0.625040584,0.7794,0.8422,0.0628,0.217159416,BUGS
tau,"tau[18,4]",0.515245759,0.6085,1.0922,0.4837,0.576954241,BUGS
tau,"tau[19,1]",-0.019184209,,,,,
tau,"tau[19,2]",0.802079515,1.243,0.8664,-0.3766,0.064320485,BUGS
tau,"tau[19,3]",0.780996082,1.131,1.1392,0.0082,0.358203918,BUGS
tau,"tau[19,4]",0.701283098,0.9215,1.3922,0.4707,0.690916902,BUGS
tau,"tau[20,1]",-0.02923485,,,,0.02923485,BUGS
tau,"tau[20,2]",0.633618813,1.385,0.9764,-0.4086,0.342781187,BUGS
tau,"tau[20,3]",0.45202513,1.02,1.221,0.201,0.76897487,BUGS
tau,"tau[20,4]",0.749767516,1.048,1.4474,0.3994,0.697632484,BUGS
theta,theta[1],0.272933385,-0.3006,-0.5687,-0.2681,-0.841633385,STAN
theta,theta[2],0.222308424,-0.124,-0.1352,-0.0112,-0.357508424,STAN
theta,theta[3],-0.139938123,1.224,1.1781,-0.0459,1.318038123,BUGS
theta,theta[4],-2.032370168,-1.714,-1.5236,0.1904,0.508770168,BUGS
theta,theta[5],-0.111425362,0.5574,0.5939,0.0365,0.705325362,BUGS
theta,theta[6],-0.048777531,0.2923,0.333,0.0407,0.381777531,BUGS
theta,theta[7],-0.139358656,1.165,1.0631,-0.1019,1.202458656,BUGS
theta,theta[8],0.239559643,-0.2029,-0.3042,-0.1013,-0.543759643,STAN
theta,theta[9],0.039624967,0.3531,0.37,0.0169,0.330375033,BUGS
theta,theta[10],0.045123596,0.2078,0.2671,0.0593,0.221976404,BUGS
theta,theta[11],0.347696801,-0.5934,-0.5425,0.0509,-0.890196801,STAN
theta,theta[12],-0.074126347,0.8152,1.2079,0.3927,1.282026347,BUGS
theta,theta[13],-0.168639092,1.226,1.1604,-0.0656,1.329039092,BUGS
theta,theta[14],-0.002399012,0.6306,0.7002,0.0696,0.702599012,BUGS
theta,theta[15],-0.185684281,1.352,1.5868,0.2348,1.772484281,BUGS
theta,theta[16],0.013643282,0.4319,0.5585,0.1266,0.544856718,BUGS
theta,theta[17],-0.54727403,-1.382,-1.2766,0.1054,-0.72932597,STAN
theta,theta[18],0.298708876,-0.5311,-0.5733,-0.0422,-0.872008876,STAN
theta,theta[19],-0.40747747,-1.078,-1.2246,-0.1466,-0.81712253,STAN
theta,theta[20],0.335958727,-0.4805,-0.4734,0.0071,-0.809358727,STAN
