"","summary.mean","summary.se_mean","summary.sd","summary.2.5.","summary.25.","summary.50.","summary.75.","summary.97.5.","summary.n_eff","summary.Rhat","c_summary.mean.chain.1","c_summary.sd.chain.1","c_summary.2.5..chain.1","c_summary.25..chain.1","c_summary.50..chain.1","c_summary.75..chain.1","c_summary.97.5..chain.1","c_summary.mean.chain.2","c_summary.sd.chain.2","c_summary.2.5..chain.2","c_summary.25..chain.2","c_summary.50..chain.2","c_summary.75..chain.2","c_summary.97.5..chain.2","c_summary.mean.chain.3","c_summary.sd.chain.3","c_summary.2.5..chain.3","c_summary.25..chain.3","c_summary.50..chain.3","c_summary.75..chain.3","c_summary.97.5..chain.3"
"tau_raw[1,1]",0.887413121610107,0.214959819964037,0.379663096601999,0.214924297539538,0.635390212332828,0.876277586918874,1.11107026401752,1.71278739101885,3.11947990125486,1.34534950887385,0.591237162219118,0.31010640441027,0.148955443858584,0.357399309440047,0.536485474903866,0.771051057901712,1.35322133839863,0.889543621165376,0.211984031299632,0.504201619654687,0.744154247068516,0.882792906891906,1.0270025218555,1.33702183128471,1.18145858144583,0.342292774507507,0.633187618612438,0.944316288182344,1.14122276926926,1.37560242255827,1.96943677428271
"tau_raw[1,2]",1.36442585157532,0.218851830290729,0.486904228656067,0.647204200358614,1.02289534715081,1.27212874810148,1.61800409341122,2.54914732949976,4.9497894601273,1.18120786941115,1.63622390802539,0.587065782875702,0.575385361535675,1.23014023871756,1.59340456265204,2.00784190667007,2.90505603745818,1.04828040083938,0.236182673735198,0.613132630978264,0.886523046921552,1.0387955275397,1.19921966451214,1.54413550664505,1.4087732458612,0.367518106256223,0.802775890578031,1.15501624321283,1.3724509191792,1.61988357220007,2.24819107638949
"tau_raw[1,3]",1.32960866190126,0.408258473700282,0.62744488782265,0.523639689298982,0.861318292717723,1.14971023291171,1.70093553442698,2.81729154721519,2.36200468762977,1.57852650364578,1.95897682003426,0.587542187086511,0.878970198438409,1.55007496750677,1.93027708407466,2.33999917286582,3.19894758912317,0.843403222070274,0.222939546945231,0.446834703712621,0.686984773865879,0.832963615618489,0.981601352365062,1.32488371662553,1.18644594359926,0.364944800699926,0.607629154748844,0.933196984860506,1.1378620898868,1.38548554000723,2.05487496350849
"tau_raw[2,1]",0.70887603358995,0.327892737691134,0.447600075724689,0.112356134924092,0.309465374448188,0.577888725777092,1.14288341661767,1.50345459509189,1.86344554925545,2.11231468353123,0.559002084754258,0.303878144898213,0.136753854480173,0.33459099733463,0.503138499208558,0.724451094472113,1.28374751811156,1.23799182211126,0.173529893546471,0.93380934633847,1.11652080115827,1.23092612222327,1.34295352906533,1.61431598211129,0.329634193904332,0.179788007901324,0.0820533660737898,0.198873801401571,0.293492788083872,0.427075517156585,0.765746512877463
"tau_raw[2,2]",1.31409841673687,0.344319279549294,0.611180229414507,0.292938837513519,0.943020639591012,1.2034070996475,1.66154689386354,2.70221807904108,3.15076427390742,1.33492131730457,1.84577305499768,0.551756606356872,0.802786333835182,1.46835882472013,1.82614950607053,2.19519514210147,2.9874596897236,1.14397409265662,0.188915957936935,0.814013686774815,1.01638314045011,1.12939581891861,1.2525460328122,1.55550300375782,0.95254810255632,0.58156801089495,0.190265724306942,0.514865742066902,0.818348880227295,1.25794769881405,2.40878115144067
"tau_raw[2,3]",1.81139494241671,0.665854382075346,1.08391739849911,0.529591947673602,0.85084741262739,1.6725406962526,2.45360854751823,4.42629348878042,2.64992663496568,1.45543795994218,2.07487579948648,0.566602556022858,1.03489440344382,1.68484550991691,2.04827272654464,2.43756222314737,3.25917478345796,0.786395839823649,0.177444941105717,0.477687340264949,0.662800707158378,0.771406952729041,0.891937540042912,1.1643557536017,2.57291318794002,1.21337555676865,0.56032779006593,1.6496826020809,2.48706223540807,3.36649905458785,5.15853602597978
"tau_raw[3,1]",1.13363814343859,0.11810059464863,0.250513443394935,0.492206924607674,1.05752219289149,1.19011317726805,1.2803270785214,1.48486041747403,4.49943419320145,1.20725382947834,0.947905521367877,0.340763530065129,0.362358566412667,0.705151526500331,0.923212493828946,1.15628259181588,1.69558077198581,1.23313220221809,0.0987400234690499,1.03694737874343,1.16728062489258,1.23424646871505,1.29917228389101,1.42795353497165,1.21987670672981,0.102876406743774,1.01829089977095,1.15175717073867,1.21920135657492,1.29002472880776,1.41800076692223
"tau_raw[3,2]",1.46689332743565,0.382477938431609,0.522076021495912,0.965439851237779,1.11166728645751,1.21796236145737,1.80625488636039,2.74165952943162,1.86317957286034,2.1257266336525,2.1039422881045,0.430862868437723,1.35100837934329,1.80641338111085,2.07214731358368,2.36961264840171,3.0253827783556,1.14333603387419,0.103241633579303,0.950743673091467,1.07204090019272,1.14042274804505,1.21235559167514,1.34921046799848,1.15340166032825,0.112151717619521,0.943281820389577,1.07726971888053,1.1513551107591,1.22719059295183,1.37907710447703
"tau_raw[3,3]",1.11792076830618,0.433268967694446,0.568223822458757,0.592473929472601,0.720061068320388,0.812095822675288,1.58587052442247,2.42009222828305,1.71998122339604,2.6258288566417,1.84944316344828,0.385205131932273,1.17158054234974,1.58594860820829,1.8155226094922,2.08050611305204,2.72562574291928,0.74356565442224,0.0898637752718128,0.575760275928639,0.68201515173963,0.740630749394985,0.801856269487535,0.931007998056919,0.760753487048014,0.0964872569982508,0.581326441417647,0.695099867165136,0.756307345309569,0.822304145141099,0.959255030094114
"tau_raw[4,1]",1.34434718530329,0.118193833177117,0.264027170484234,0.951610204278609,1.1778930746431,1.29840986783092,1.44992554845099,2.02531617130199,4.99008114445916,1.17656684549599,1.52727550257669,0.340370117922043,0.899890897499778,1.30263856227042,1.50934563571511,1.73708195688581,2.25275332365267,1.26995788162363,0.139161900782207,1.00311104656549,1.17512378344069,1.26849235943727,1.36395470129474,1.54977416366362,1.23580817170954,0.152163285512391,0.945491113465476,1.13265571329611,1.23489295246956,1.33494768583015,1.54627740647923
"tau_raw[4,2]",0.72955062623134,0.105002726951717,0.244519474378141,0.36912836219097,0.57136108640045,0.688923717286274,0.832473921998625,1.35542050976631,5.42282701809279,1.15976985637724,0.892690232358365,0.313090623759469,0.352847962473048,0.671042194616033,0.869438552908886,1.08782177715843,1.54936970989251,0.657158996579859,0.137766556686781,0.396300238499905,0.563540866857499,0.655031998579517,0.747251259072134,0.936963708176779,0.638802649755798,0.149296965449577,0.355474058100785,0.533093089513187,0.633530891580183,0.73932617156486,0.94476578103813
"tau_raw[4,3]",0.94062669642222,0.247665256269393,0.365575188132583,0.484586135030598,0.686367157700737,0.819815833876734,1.12706703947691,1.84386145685698,2.17882952974545,1.70022521642575,1.34412936546196,0.338966634424296,0.742464758339869,1.11039833363378,1.32264024783862,1.55022433211872,2.06564708397276,0.736287470670142,0.140127412836046,0.472637915037491,0.64058770296443,0.731852415172937,0.825765160735317,1.02770043313499,0.741463253134562,0.148899950361785,0.458861217034046,0.642298397953089,0.738748175725983,0.834176366472412,1.0471922420521
"tau_raw[5,1]",1.5699421677536,0.081529159690813,0.13993608863737,1.35892781690837,1.47469341541428,1.54414040866361,1.63682404973803,1.91431902773336,2.94600533668555,1.3735823827071,1.69237229056004,0.153143834969265,1.39344409781709,1.59247054124451,1.68945239927092,1.79050549619244,2.00022513245651,1.5438828647383,0.0719226163190006,1.39928924917381,1.49646042928669,1.54426873415861,1.59237112263799,1.68574040858363,1.47357134796247,0.0718868202902928,1.3322543480385,1.42571925111768,1.4725905901984,1.52244787896918,1.61438068777315
"tau_raw[5,2]",1.13543366000003,0.111961558393477,0.164802203326875,0.915680249806711,1.02142484063757,1.08725052566401,1.2164919264218,1.53403904382632,2.16664699005208,1.70257979653342,1.31471527411677,0.151584133519133,1.03431074112682,1.20837935155463,1.3112027501763,1.41599745224706,1.62260781905902,1.07432481264185,0.0656685253155005,0.942355897579855,1.03061048126569,1.07369835438949,1.11846588365466,1.20350172271387,1.01726089324149,0.0659476960221537,0.891702746918331,0.97200073329125,1.01803974696327,1.06247396255457,1.14416914356133
"tau_raw[5,3]",1.24893094481552,0.293393379024147,0.369407015478739,0.888922462840228,0.976936038229599,1.03889304281194,1.64800620939076,1.98119363278042,1.58529343093418,4.02752792871516,1.75120916088861,0.151855709782873,1.46683042447613,1.64802541482121,1.74357826189481,1.84535927677355,2.07244673175611,1.0127791451832,0.0606864315904035,0.89911381605418,0.971897714584016,1.0097996935526,1.05247190383456,1.13984154604403,0.982804528374748,0.0612052845088004,0.868758467926474,0.940928105580039,0.982142988090506,1.02157249153405,1.1069063162723
"tau_raw[6,1]",1.30170495134186,0.0489961701202793,0.105705719566692,1.1216641951193,1.22957408164573,1.29185162693055,1.36139588057846,1.54054477396273,4.65449647841899,1.18922422275431,1.3702931885459,0.121484156619852,1.13459784535973,1.28740412504783,1.37225933413746,1.45487423879769,1.60335242013548,1.29505893419741,0.0718065992877987,1.15158129190019,1.24798831212618,1.29655598912471,1.34342904024059,1.43181070663935,1.23976273128228,0.0708795312006945,1.09912894588373,1.19212197297422,1.23989907298501,1.28730051497608,1.37898816547474
"tau_raw[6,2]",0.975634043698106,0.0783329722018287,0.123917429129141,0.788802988529347,0.887828406868624,0.950255926682702,1.04429628626955,1.26599081411248,2.50250860010442,1.50739719991467,1.09753334075674,0.117603880979317,0.864616806075688,1.0186771885853,1.09782575542839,1.17665084676649,1.32922794863149,0.940410822433101,0.0668844458094352,0.812467750032009,0.894832135159426,0.939622006971362,0.986008393913409,1.07131681786529,0.88895796790448,0.0644278641824404,0.764004458134661,0.844813362907196,0.888759800982304,0.932801102259763,1.01674389457835
"tau_raw[6,3]",0.781864358467239,0.112782751777268,0.153450005816498,0.586061496471425,0.66774553326778,0.727501741404506,0.895406376931334,1.12548492513504,1.85117912837775,2.14000813681308,0.968226050308114,0.105820357422513,0.770235708812972,0.894767632442175,0.966951919358261,1.03531928746261,1.18692778800815,0.707931348134909,0.0595078055513166,0.596398383281674,0.66778158377693,0.705637895377821,0.747220352322174,0.831496232908415,0.669435676958694,0.0553485175642494,0.563253562182531,0.631508016986941,0.667776557128823,0.707120959425474,0.779275710477532
"tau_raw[7,1]",0.864038996014739,0.0124910483606183,0.156514733367121,0.553824328062588,0.759312567786107,0.863306350614027,0.969222377886243,1.17461873046972,157.004706673845,1.01436315451064,0.885626776577181,0.166952744721123,0.551380369478166,0.774427760434568,0.88580903255081,0.999127558633353,1.21128309383297,0.874986643691371,0.151455320057607,0.572845629453767,0.773686252904002,0.876265707080021,0.979388548332922,1.16726319275659,0.831503567775664,0.145064422726235,0.538418365412248,0.735774621312966,0.830458848853911,0.930369128368325,1.11375563679144
"tau_raw[7,2]",0.857431816244382,0.0244386259886491,0.153511673831709,0.569520402098493,0.753324117669443,0.852006078863619,0.960346935109698,1.16459724515608,39.4574708460475,1.02844249381215,0.895594914188021,0.165656644738207,0.570706509462315,0.782889116076695,0.892959122381473,1.00757518436617,1.22604179936429,0.86126971701099,0.145683883080818,0.57666363278628,0.763626597431705,0.859054249525311,0.960614637221585,1.14122564072077,0.815430817534136,0.137131797536279,0.556102312769029,0.719452982944017,0.812637397537939,0.906395652729624,1.08971032487049
