"","Point est.","Upper C.I."
"a[1]",1.0008675434103,1.00322845722282
"a[2]",1.00050406491337,1.00169133827585
"a[3]",1.00060528119679,1.00235632374162
"a[4]",1.00182448800094,1.00648367918247
"a[5]",1.00035099697747,1.00118054553162
"a[6]",1.00012958031867,1.00027026633078
"a[7]",1.00057949513906,1.00222408795646
"a[8]",1.00210164924228,1.00767758157396
"a[9]",0.999942034575128,1.00001165574083
"a[10]",1.0000408629102,1.00025892129462
"b[1]",1.01455362706945,1.02612208936081
"b[2]",1.01521083610048,1.02738145204985
"b[3]",1.01451524504218,1.02195519586455
"b[4]",1.01352077843011,1.02465007683174
"b[5]",1.02143908033178,1.03943330460902
"b[6]",1.01893533353195,1.03356606052224
"b[7]",1.01168742725319,1.02221523332298
"b[8]",1.01291458721645,1.02392778640106
"b[9]",1.01653505753391,1.03074012866812
"b[10]",1.01302253305116,1.02441120852347
"rt_b0",1.00032436731241,1.00104898404062
"rt_b1",1.00007891349149,1.00044628824105
"rt_b2",1.00039561894071,1.00158943373691
"tau[1,1]",NA,NA
"tau[2,1]",NA,NA
"tau[3,1]",NA,NA
"tau[4,1]",NA,NA
"tau[5,1]",NA,NA
"tau[6,1]",NA,NA
"tau[7,1]",NA,NA
"tau[8,1]",NA,NA
"tau[9,1]",NA,NA
"tau[10,1]",NA,NA
"tau[1,2]",1.00046736030523,1.00148165649344
"tau[2,2]",1.00138653946448,1.00500113225491
"tau[3,2]",1.00014869843999,1.00048439371367
"tau[4,2]",1.00096928984337,1.00361586245882
"tau[5,2]",1.00135181812947,1.00508549341385
"tau[6,2]",1.00013776779747,1.0007653667451
"tau[7,2]",1.00038990393365,1.00107144172221
"tau[8,2]",1.00105639628838,1.00347236112411
"tau[9,2]",1.00063424365089,1.00247320837279
"tau[10,2]",1.0000456171393,1.00014983604234
"tau[1,3]",1.00083894552598,1.00222069138084
"tau[2,3]",1.00174711258452,1.00481132353417
"tau[3,3]",1.0006116338833,1.00237605338958
"tau[4,3]",0.999985201727014,1.00007487841101
"tau[5,3]",1.00059742826066,1.0024516786223
"tau[6,3]",1.00016607633999,1.00029649758057
"tau[7,3]",1.00192655580276,1.00518172637374
"tau[8,3]",1.00114137250897,1.00359891474727
"tau[9,3]",0.999964486559159,1.00002456891305
"tau[10,3]",1.000412783516,1.00057729775937
"tau[1,4]",1.00229011665359,1.00741623404558
"tau[2,4]",1.00177542550063,1.00573167417686
"tau[3,4]",1.00040409162218,1.00145672704248
"tau[4,4]",1.00098230461957,1.0035098071938
"tau[5,4]",1.0001570645155,1.0002146933155
"tau[6,4]",1.00030443696853,1.0012198382833
"tau[7,4]",1.00159444146984,1.00588307588863
"tau[8,4]",1.00523170775562,1.01809651160329
"tau[9,4]",1.00077434302655,1.00079386663135
"tau[10,4]",1.00059390814678,1.00082691472942
"tau[1,5]",1.00271615208758,1.00818755661734
"tau[2,5]",1.00084376687774,1.00305393500912
"tau[3,5]",1.00019421824094,1.00090294250941
"tau[4,5]",1.00158277972209,1.00605900101253
"tau[5,5]",1.00011670048096,1.000633733657
"tau[6,5]",1.00034566544195,1.00087571099972
"tau[7,5]",1.00153410744594,1.00587649197438
"tau[8,5]",1.00196918638064,1.00744505393036
"tau[9,5]",1.00028180474794,1.0004173913749
"tau[10,5]",1.00046380420502,1.00169201228794
"tau[1,6]",1.00017769179639,1.00082679982122
"tau[2,6]",1.00062456686231,1.00243378123114
"tau[3,6]",1.00077076619397,1.00280713184693
"tau[4,6]",1.0012149304909,1.00441420747215
"tau[5,6]",1.00061750788576,1.00235810007711
"tau[6,6]",1.00042197953066,1.00094598996158
"tau[7,6]",1.00000511029117,1.00024719471279
"tau[8,6]",1.00238535568627,1.00815406461096
"tau[9,6]",1.00026392498222,1.00088360750875
"tau[10,6]",1.00109258463985,1.00312077278899
"theta[1]",1.00192174747522,1.00693305200493
"theta[2]",1.00045672314254,1.00136547673069
"theta[3]",1.00374500978544,1.00974036448291
"theta[4]",1.0006244113857,1.00141507931867
"theta[5]",1.00092376662363,1.00225334260118
"theta[6]",1.00067638571851,1.00170197832411
"theta[7]",1.00056559300959,1.00192049250352
"theta[8]",1.00024222710734,1.00025360640159
"theta[9]",1.00067253902866,1.00080086877326
"theta[10]",1.00042963599844,1.00081367904279
"theta[11]",1.00258381049746,1.00750827427029
"theta[12]",1.00690144003692,1.01561510000527
"theta[13]",1.00060677262011,1.00185213293752
"theta[14]",1.00070794038448,1.00147390349693
"theta[15]",1.00004058303092,1.00030409096182
"theta[16]",1.0025455253007,1.00742851256003
"theta[17]",1.00114186760609,1.00412180359307
"theta[18]",1.00036694380172,1.00092057092587
"theta[19]",1.00120707622176,1.0037948639624
"theta[20]",1.00068646173882,1.00266217351847
"theta[21]",1.00216105746632,1.00663769067892
"theta[22]",1.00241688572199,1.00651228908512
"theta[23]",1.00125340457007,1.00301095924994
"theta[24]",1.00012734354998,1.00047556723634
"theta[25]",1.00256688249217,1.00679163079805
"theta[26]",1.00161654644178,1.00389253279481
