		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	a[1,1]	0.8919	0.06868	0.003457	0.7642	0.8886	1.038	10000	5001
	a[2,1]	0.9365	0.07446	0.004	0.7934	0.9359	1.086	10000	5001
	a[3,1]	1.386	0.1034	0.005346	1.191	1.382	1.6	10000	5001
	a[4,1]	1.878	0.139	0.005981	1.609	1.874	2.165	10000	5001
	a[5,1]	0.7926	0.06404	0.002409	0.6753	0.789	0.9275	10000	5001
	a[6,1]	1.928	0.1416	0.006032	1.662	1.924	2.216	10000	5001
	a[7,1]	1.828	0.1319	0.005076	1.582	1.823	2.099	10000	5001
	a[8,1]	1.481	0.1073	0.003728	1.275	1.48	1.703	10000	5001
	a[9,1]	1.534	0.1153	0.004569	1.322	1.53	1.772	10000	5001
	a[10,1]	0.589	0.05644	0.002076	0.4784	0.5891	0.7002	10000	5001
	a[11,1]	0.8532	0.06972	0.002551	0.7184	0.8521	0.9939	10000	5001
	a[12,1]	0.6774	0.05712	0.002012	0.5671	0.6764	0.7934	10000	5001
	a[13,1]	1.66	0.1242	0.005221	1.429	1.657	1.913	10000	5001
	a[14,1]	1.003	0.07376	0.002577	0.8684	1.001	1.156	10000	5001
	a[15,1]	1.563	0.1102	0.004633	1.357	1.563	1.786	10000	5001
	a[16,1]	1.394	0.09975	0.004583	1.204	1.392	1.595	10000	5001
	a[17,1]	1.597	0.1123	0.005033	1.39	1.593	1.833	10000	5001
	a[18,1]	1.849	0.1368	0.00655	1.594	1.846	2.128	10000	5001
	a[19,1]	1.149	0.08294	0.003784	0.9927	1.147	1.32	10000	5001
	a[20,1]	1.703	0.1225	0.00535	1.475	1.701	1.953	10000	5001
	b[1,1]	-1.869	0.1659	0.01805	-2.223	-1.849	-1.605	10000	5001
	b[2,1]	-2.047	0.1876	0.02041	-2.41	-2.015	-1.763	10000	5001
	b[3,1]	-1.337	0.07583	0.007239	-1.482	-1.336	-1.184	10000	5001
	b[4,1]	-0.5738	0.04279	0.004034	-0.6628	-0.5701	-0.4972	10000	5001
	b[5,1]	-0.5179	0.06089	0.004089	-0.6397	-0.5204	-0.395	10000	5001
	b[6,1]	-0.1201	0.0399	0.003889	-0.2064	-0.1193	-0.05016	10000	5001
	b[7,1]	-0.01846	0.03956	0.003858	-0.1048	-0.01633	0.05148	10000	5001
	b[8,1]	-0.02032	0.04327	0.003974	-0.1138	-0.01538	0.05671	10000	5001
	b[9,1]	-0.01376	0.04256	0.003894	-0.1051	-0.01239	0.05846	10000	5001
	b[10,1]	0.1323	0.0673	0.00414	4.952E-4	0.1314	0.2623	10000	5001
	b[11,1]	0.4085	0.05707	0.004273	0.2965	0.4096	0.5171	10000	5001
	b[12,1]	0.4014	0.06854	0.004698	0.2664	0.4036	0.5331	10000	5001
	b[13,1]	0.532	0.04839	0.004683	0.4384	0.5353	0.6238	10000	5001
	b[14,1]	0.687	0.05623	0.004694	0.578	0.6875	0.8021	10000	5001
	b[15,1]	0.7731	0.05218	0.005046	0.6648	0.7783	0.8667	10000	5001
	b[16,1]	0.8306	0.05765	0.005329	0.7104	0.8367	0.933	10000	5001
	b[17,1]	0.8895	0.0554	0.005391	0.7771	0.8949	0.9826	10000	5001
	b[18,1]	0.9215	0.05498	0.005655	0.803	0.9286	1.024	10000	5001
	b[19,1]	1.115	0.07454	0.006589	0.9604	1.115	1.254	10000	5001
	b[20,1]	1.479	0.08004	0.00771	1.324	1.479	1.639	10000	5001
	psi[1,2]	1.291	0.1884	0.01094	0.9379	1.288	1.67	10000	5001
	psi[1,3]	0.9536	0.1812	0.01269	0.6148	0.9459	1.321	10000	5001
	psi[1,4]	0.7423	0.1669	0.01128	0.4456	0.734	1.091	10000	5001
	psi[2,2]	0.8682	0.207	0.0137	0.4949	0.8639	1.282	10000	5001
	psi[2,3]	0.9613	0.199	0.01443	0.6	0.9476	1.39	10000	5001
	psi[2,4]	0.5909	0.2053	0.01389	0.2109	0.5822	1.015	10000	5001
	psi[3,2]	1.529	0.1832	0.005167	1.176	1.525	1.892	10000	5001
	psi[3,3]	1.108	0.1546	0.004032	0.8118	1.107	1.417	10000	5001
	psi[3,4]	0.8822	0.1298	0.003594	0.6267	0.8834	1.135	10000	5001
	psi[4,2]	1.843	0.2055	0.005982	1.452	1.843	2.264	10000	5001
	psi[4,3]	1.651	0.1495	0.003557	1.358	1.648	1.949	10000	5001
	psi[4,4]	1.055	0.1091	0.002264	0.8443	1.054	1.273	10000	5001
	psi[5,2]	1.064	0.1315	0.002418	0.8175	1.063	1.328	10000	5001
	psi[5,3]	0.5943	0.1127	0.002597	0.374	0.5938	0.8138	10000	5001
	psi[5,4]	0.7485	0.09286	0.001696	0.5739	0.7482	0.9307	10000	5001
	psi[6,2]	1.911	0.1948	0.005399	1.539	1.908	2.299	10000	5001
	psi[6,3]	1.418	0.1467	0.003944	1.13	1.416	1.704	10000	5001
	psi[6,4]	1.156	0.108	0.002462	0.9486	1.155	1.371	10000	5001
	psi[7,2]	1.945	0.1993	0.004142	1.57	1.939	2.35	10000	5001
	psi[7,3]	1.632	0.1483	0.003253	1.345	1.63	1.923	10000	5001
	psi[7,4]	1.101	0.102	0.001776	0.904	1.1	1.305	10000	5001
	psi[8,2]	2.031	0.1965	0.004165	1.661	2.028	2.419	10000	5001
	psi[8,3]	1.735	0.1483	0.002798	1.448	1.732	2.025	10000	5001
	psi[8,4]	1.214	0.09812	0.001414	1.025	1.213	1.409	10000	5001
	psi[9,2]	1.414	0.1638	0.003721	1.101	1.411	1.738	10000	5001
	psi[9,3]	1.155	0.124	0.002831	0.917	1.154	1.402	10000	5001
	psi[9,4]	0.5534	0.1002	0.001962	0.3547	0.5554	0.7434	10000	5001
	psi[10,2]	0.8115	0.1303	0.002384	0.5499	0.8132	1.067	10000	5001
	psi[10,3]	0.5894	0.11	0.002534	0.3736	0.5877	0.8039	10000	5001
	psi[10,4]	0.6524	0.0866	0.00156	0.4847	0.6514	0.8282	10000	5001
	psi[11,2]	0.916	0.1332	0.002992	0.6559	0.9142	1.183	10000	5001
	psi[11,3]	0.7426	0.1124	0.002161	0.5172	0.7419	0.9664	10000	5001
	psi[11,4]	0.4789	0.09254	0.001731	0.2967	0.4796	0.6618	10000	5001
	psi[12,2]	0.8004	0.1355	0.002382	0.5377	0.7985	1.067	10000	5001
	psi[12,3]	0.7882	0.1149	0.002743	0.5642	0.7865	1.021	10000	5001
	psi[12,4]	0.6989	0.08747	0.001919	0.5293	0.6993	0.8701	10000	5001
	psi[13,2]	1.952	0.1881	0.004765	1.595	1.949	2.33	10000	5001
	psi[13,3]	1.289	0.1408	0.003222	1.019	1.289	1.568	10000	5001
	psi[13,4]	0.9242	0.1041	0.002242	0.7185	0.9238	1.128	10000	5001
	psi[14,2]	0.8732	0.1352	0.002966	0.6151	0.8705	1.143	10000	5001
	psi[14,3]	0.7207	0.121	0.00243	0.4825	0.7241	0.9548	10000	5001
	psi[14,4]	0.759	0.1007	0.002007	0.5629	0.7589	0.9604	10000	5001
	psi[15,2]	1.827	0.1823	0.003974	1.48	1.824	2.181	10000	5001
	psi[15,3]	1.336	0.141	0.003499	1.061	1.333	1.613	10000	5001
	psi[15,4]	1.152	0.1083	0.001901	0.9403	1.15	1.365	10000	5001
	psi[16,2]	2.074	0.185	0.00397	1.721	2.071	2.447	10000	5001
	psi[16,3]	1.524	0.1459	0.003348	1.238	1.523	1.808	10000	5001
	psi[16,4]	1.325	0.1053	0.002007	1.122	1.323	1.534	10000	5001
	psi[17,2]	2.25	0.2052	0.005041	1.856	2.242	2.668	10000	5001
	psi[17,3]	1.642	0.1549	0.003794	1.353	1.639	1.949	10000	5001
	psi[17,4]	1.436	0.1156	0.002461	1.216	1.436	1.663	10000	5001
	psi[18,2]	1.759	0.1965	0.005485	1.389	1.756	2.163	10000	5001
	psi[18,3]	1.44	0.1534	0.003721	1.141	1.439	1.745	10000	5001
	psi[18,4]	1.122	0.1176	0.002481	0.8983	1.119	1.361	10000	5001
	psi[19,2]	1.43	0.1652	0.003521	1.106	1.429	1.75	10000	5001
	psi[19,3]	1.298	0.1373	0.003158	1.028	1.295	1.571	10000	5001
	psi[19,4]	1.056	0.1047	0.002206	0.8513	1.053	1.267	10000	5001
	psi[20,2]	2.359	0.2335	0.007044	1.93	2.354	2.838	10000	5001
	psi[20,3]	1.736	0.1975	0.007313	1.362	1.732	2.127	10000	5001
	psi[20,4]	1.781	0.1567	0.005814	1.487	1.779	2.097	10000	5001
	tau[1,2]	1.447	0.1832	0.01609	1.121	1.434	1.842	10000	5001
	tau[1,3]	1.071	0.1993	0.01717	0.7131	1.055	1.499	10000	5001
	tau[1,4]	0.8357	0.1938	0.01517	0.4955	0.82	1.262	10000	5001
	tau[2,2]	0.9249	0.201	0.01699	0.556	0.9122	1.336	10000	5001
	tau[2,3]	1.03	0.2164	0.01869	0.6523	1.01	1.479	10000	5001
	tau[2,4]	0.6339	0.2255	0.01689	0.2216	0.6195	1.107	10000	5001
	tau[3,2]	1.102	0.09456	0.005472	0.9112	1.103	1.285	10000	5001
	tau[3,3]	0.7999	0.1003	0.004907	0.6051	0.7996	0.9984	10000	5001
	tau[3,4]	0.638	0.09405	0.004236	0.456	0.6371	0.8203	10000	5001
	tau[4,2]	0.9806	0.06754	0.002765	0.8464	0.9813	1.111	10000	5001
	tau[4,3]	0.8805	0.06353	0.002348	0.757	0.8792	1.011	10000	5001
	tau[4,4]	0.563	0.05422	0.001753	0.4586	0.5617	0.6722	10000	5001
	tau[5,2]	1.342	0.1323	0.003724	1.079	1.342	1.601	10000	5001
	tau[5,3]	0.7495	0.1288	0.003412	0.4939	0.7484	1.001	10000	5001
	tau[5,4]	0.9482	0.124	0.003542	0.7097	0.9444	1.203	10000	5001
	tau[6,2]	0.9909	0.0612	0.00253	0.8731	0.9901	1.112	10000	5001
	tau[6,3]	0.7357	0.05849	0.002103	0.6208	0.7363	0.8504	10000	5001
