		mean	sd	MC_error	val2.5pc	median	val97.5pc	start	sample
	a[1,1]	0.8879	0.06554	0.004039	0.7677	0.8853	1.018	501	1550
	a[2,1]	0.9348	0.07138	0.005141	0.8003	0.9343	1.074	501	1550
	a[3,1]	1.397	0.101	0.007292	1.204	1.395	1.6	501	1550
	a[4,1]	1.9	0.1345	0.008895	1.651	1.896	2.172	501	1550
	a[5,1]	0.7953	0.06285	0.00404	0.674	0.7927	0.9208	501	1550
	a[6,1]	1.941	0.138	0.009045	1.68	1.939	2.217	501	1550
	a[7,1]	1.85	0.1368	0.009473	1.59	1.846	2.122	501	1550
	a[8,1]	1.495	0.111	0.00736	1.29	1.491	1.728	501	1550
	a[9,1]	1.546	0.1141	0.006658	1.337	1.54	1.779	501	1550
	a[10,1]	0.5955	0.05783	0.003199	0.4863	0.593	0.7116	501	1550
	a[11,1]	0.8565	0.06662	0.003815	0.7275	0.8565	0.9939	501	1550
	a[12,1]	0.6864	0.05749	0.003777	0.5783	0.6848	0.804	501	1550
	a[13,1]	1.675	0.12	0.006989	1.441	1.669	1.92	501	1550
	a[14,1]	1.01	0.07542	0.004682	0.8694	1.009	1.161	501	1550
	a[15,1]	1.579	0.1089	0.007072	1.368	1.577	1.805	501	1550
	a[16,1]	1.409	0.09822	0.006491	1.229	1.406	1.608	501	1550
	a[17,1]	1.617	0.116	0.007381	1.386	1.618	1.85	501	1550
	a[18,1]	1.879	0.1418	0.01181	1.614	1.872	2.172	501	1550
	a[19,1]	1.154	0.08397	0.005954	0.9879	1.154	1.322	501	1550
	a[20,1]	1.709	0.1164	0.008591	1.491	1.701	1.956	501	1550
	b[1,1]	-1.988	0.1946	0.02974	-2.346	-1.966	-1.646	501	1550
	b[2,1]	-2.165	0.1713	0.02588	-2.442	-2.206	-1.845	501	1550
	b[3,1]	-1.336	0.06552	0.007818	-1.472	-1.332	-1.223	501	1550
	b[4,1]	-0.5772	0.0444	0.006	-0.664	-0.5732	-0.488	501	1550
	b[5,1]	-0.5202	0.0627	0.006506	-0.6477	-0.5251	-0.3881	501	1550
	b[6,1]	-0.1312	0.04205	0.005747	-0.2063	-0.1297	-0.05088	501	1550
	b[7,1]	-0.02637	0.03986	0.00543	-0.1045	-0.02205	0.05584	501	1550
	b[8,1]	-0.03024	0.04463	0.00577	-0.1141	-0.02807	0.05995	501	1550
	b[9,1]	-0.02524	0.041	0.00535	-0.1076	-0.0249	0.0571	501	1550
	b[10,1]	0.1194	0.07326	0.007079	-0.02712	0.1202	0.2619	501	1550
	b[11,1]	0.3973	0.0552	0.006005	0.2923	0.3978	0.5066	501	1550
	b[12,1]	0.3793	0.06687	0.006766	0.2461	0.3787	0.5092	501	1550
	b[13,1]	0.5184	0.04847	0.006759	0.4323	0.5149	0.6087	501	1550
	b[14,1]	0.6745	0.05678	0.006783	0.5689	0.6718	0.7859	501	1550
	b[15,1]	0.7552	0.04962	0.006893	0.6669	0.7507	0.8763	501	1550
	b[16,1]	0.8049	0.05202	0.006949	0.7085	0.8053	0.9078	501	1550
	b[17,1]	0.869	0.05271	0.006966	0.7739	0.8672	0.9923	501	1550
	b[18,1]	0.9002	0.04888	0.006923	0.8229	0.9056	1.007	501	1550
	b[19,1]	1.099	0.07134	0.009545	0.9595	1.095	1.229	501	1550
	b[20,1]	1.459	0.06488	0.009095	1.342	1.456	1.584	501	1550
	psi[1,2]	1.38	0.2112	0.02129	0.9689	1.374	1.786	501	1550
	psi[1,3]	1.056	0.2057	0.02293	0.6938	1.043	1.476	501	1550
	psi[1,4]	0.8254	0.1925	0.02238	0.4731	0.8186	1.239	501	1550
	psi[2,2]	0.9712	0.2142	0.02078	0.5559	0.9697	1.385	501	1550
	psi[2,3]	1.071	0.2146	0.02208	0.6818	1.069	1.484	501	1550
	psi[2,4]	0.6884	0.2157	0.02257	0.274	0.6939	1.109	501	1550
	psi[3,2]	1.528	0.1857	0.01138	1.149	1.527	1.896	501	1550
	psi[3,3]	1.111	0.1464	0.006885	0.8205	1.108	1.396	501	1550
	psi[3,4]	0.8794	0.1358	0.005625	0.6187	0.8807	1.144	501	1550
	psi[4,2]	1.852	0.1951	0.009417	1.479	1.847	2.264	501	1550
	psi[4,3]	1.652	0.1496	0.006166	1.381	1.648	1.959	501	1550
	psi[4,4]	1.06	0.1064	0.003623	0.8562	1.057	1.277	501	1550
	psi[5,2]	1.054	0.1333	0.004606	0.7861	1.058	1.317	501	1550
	psi[5,3]	0.5871	0.1166	0.004684	0.3672	0.5821	0.8103	501	1550
	psi[5,4]	0.7508	0.0953	0.003509	0.5661	0.7537	0.9484	501	1550
	psi[6,2]	1.911	0.1955	0.009012	1.528	1.91	2.297	501	1550
	psi[6,3]	1.419	0.1443	0.006114	1.15	1.417	1.703	501	1550
	psi[6,4]	1.156	0.1067	0.00372	0.953	1.155	1.372	501	1550
	psi[7,2]	1.948	0.1987	0.009425	1.578	1.946	2.342	501	1550
	psi[7,3]	1.641	0.1497	0.006156	1.357	1.64	1.932	501	1550
	psi[7,4]	1.106	0.1056	0.004082	0.9083	1.106	1.31	501	1550
